"Complex","Conditional","Essential","Nonessential","<NA>","protein_count","essentiality_fraction","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"FC2766",0,0,2,0,2,0,2,"Literature","cellular process","cellular process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster342","Additional publication","Fly","22036573","FBgn0002789 FBgn0001092 "
"FC2767",0,0,5,0,5,0,5,"Literature","Nup84p complex","Nup84p complex",NA,"Affinity Capture-Western","Nup84p complex","CYC2008","Yeast","10747086","FBgn0027868 FBgn0034310 FBgn0039120 FBgn0033247 FBgn0024509 "
"FC2768",1,4,73,5,83,0.0481927710843374,83,"Literature","C complex spliceosome","C complex spliceosome",NA,"MI:0028- cosedimentation in solution | MI:0096- pull down","C complex spliceosome","CORUM","Human","11991638","FBgn0027587 FBgn0036277 FBgn0036828 FBgn0003261 FBgn0035021 FBgn0038464 FBgn0051054 FBgn0036964 FBgn0031631 FBgn0261790 FBgn0015793 FBgn0037220 FBgn0039566 FBgn0036340 FBgn0031114 FBgn0039347 FBgn0032690 FBgn0015331 FBgn0004237 FBgn0035141 FBgn0037550 FBgn0035162 FBgn0023506 FBgn0002736 FBgn0035027 FBgn0033859 FBgn0033527 FBgn0004856 FBgn0010083 FBgn0035136 FBgn0051368 FBgn0031266 FBgn0003742 FBgn0037737 FBgn0038826 FBgn0036207 FBgn0038927 FBgn0003449 FBgn0086707 FBgn0017457 FBgn0033688 FBgn0023167 FBgn0259139 FBgn0261933 FBgn0261619 FBgn0000426 FBgn0031229 FBgn0260010 FBgn0261789 FBgn0029979 FBgn0028382 FBgn0039626 FBgn0026713 FBgn0000377 FBgn0035720 FBgn0040284 FBgn0031493 FBgn0033378 FBgn0033556 FBgn0261119 FBgn0037573 FBgn0259935 FBgn0015907 FBgn0051184 FBgn0035253 FBgn0036386 FBgn0004903 FBgn0028897 FBgn0024191 FBgn0001986 FBgn0086895 FBgn0030365 FBgn0033210 FBgn0261791 FBgn0036548 FBgn0050122 FBgn0036314 FBgn0032388 FBgn0010774 FBgn0001215 FBgn0040235 FBgn0032439 FBgn0014366 "
"FC2769",0,0,12,0,12,0,12,"Literature","nuclear mRNA splicing, via spliceosome","nuclear mRNA splicing, via spliceosome;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;RNA splicing, via transesterification reactions;regulation of alternative nuclear mRNA splicing, via spliceosome;RNA splicing",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster304","CYC2008","Yeast","","FBgn0022985 FBgn0034659 FBgn0034739 FBgn0022984 FBgn0022986 FBgn0034740 FBgn0017397 FBgn0034834 FBgn0005411 FBgn0034731 FBgn0022987 FBgn0025571 "
"FC277",0,0,4,0,4,0,4,"Literature","CDCA5-PDS5A-RAD21-SMC1A-PDS5B-SMC3 complex","CDCA5-PDS5A-RAD21-SMC1A-PDS5B-SMC3 complex;Sororin-cohesin complex",NA,"MI:0004- affinity chromatography technologies | MI:0007- anti tag coimmunoprecipitation","Sororin-cohesin complex","CORUM","Human","15837422","FBgn0260987 FBgn0040283 FBgn0015615 FBgn0260012 "
"FC2772",0,0,3,1,4,0,4,"Literature","RNA polymerase II complex, incomplete (CBP, RPBI, PCAF, BAF47), chromatin structure modifying","RNA polymerase II complex, incomplete (CBP, RPBI, PCAF, BAF47), chromatin structure modifying",NA,"MI:0047- far western blotting | MI:0019- coimmunoprecipitation","RNA polymerase II complex, incomplete (CBP, RPBI, PCAF, BAF47), chromatin structure modifying","CORUM","Human","9710619","FBgn0020388 FBgn0261617 FBgn0011715 FBgn0003277 "
"FC2773",0,0,7,1,8,0,8,"Literature","translational initiation","translational initiation;translation;cellular macromolecule biosynthetic process;cellular protein metabolic process;cellular biosynthetic process",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster31","CYC2008","Yeast","","FBgn0024996 FBgn0023512 FBgn0261609 FBgn0034029 FBgn0004926 FBgn0034858 FBgn0003600 FBgn0039726 "
"FC2774",0,0,4,1,5,0,5,"Literature","Mot1-TBP","Mot1-TBP;Mot1p complex",NA,"Reconstituted Complex","Mot1p complex","CYC2008","Yeast","12805227","FBgn0261793 FBgn0010287 FBgn0022787 FBgn0031444 FBgn0003687 "
"FC2775",0,0,3,0,3,0,3,"Literature","cellular homeostasis","cellular homeostasis;homeostatic process;regulation of biological quality",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster215","Additional publication","Fly","22036573","FBgn0010482 FBgn0038568 FBgn0011286 "
"FC2776",0,3,4,0,7,0.428571428571429,7,"Literature","60S APC containing complex","60S APC containing complex",NA,"MI:0029- cosedimentation through density gradients | MI:0226- ion exchange chromatography","60S APC containing complex","CORUM","Human","17126424","FBgn0015589 FBgn0260639 FBgn0026598 FBgn0010097 FBgn0003884 FBgn0003886 FBgn0003885 "
"FC2778",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster550","Additional publication","Fly","22036573","FBgn0035107 FBgn0038766 "
"FC2779",0,0,2,0,2,0,2,"Literature","RFC2-RIalpha complex","RFC2-RIalpha complex",NA,"MI:0018- two hybrid | MI:0019- coimmunoprecipitation | MI:0096- pull down","RFC2-RIalpha complex","CORUM","Human","15655353","FBgn0260985 FBgn0260439 "
"FC278",0,1,6,0,7,0.142857142857143,7,"Literature","regulation of immune system process","regulation of immune system process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster56","Additional publication","Fly","22036573","FBgn0033426 FBgn0029943 FBgn0015271 FBgn0037156 FBgn0026878 FBgn0003371 FBgn0039705 "
"FC2780",0,0,2,0,2,0,2,"Literature","peroxin docking complex","peroxin docking complex",NA,"Affinity Capture-Western","peroxin docking complex","CYC2008","Yeast","12667447","FBgn0037020 FBgn0033812 "
"FC2781",0,1,6,0,7,0.142857142857143,7,"Literature","neuron projection morphogenesis","neuron projection morphogenesis;cell morphogenesis involved in neuron differentiation;neuron projection development;regulation of transcription, DNA-dependent;neuron development",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster187","CYC2008","Yeast","","FBgn0038190 FBgn0028387 FBgn0033155 FBgn0034853 FBgn0034975 FBgn0035106 FBgn0026080 "
"FC2782",0,1,2,0,3,0.333333333333333,3,"Literature","CEBPE-E2F1-RB1 complex","CEBPE-E2F1-RB1 complex",NA,"MI:0019- coimmunoprecipitation","CEBPE-E2F1-RB1 complex","CORUM","Human","12947005","FBgn0038390 FBgn0011766 FBgn0005638 "
"FC2783",0,0,5,0,5,0,5,"Literature","NRG1-IKZF4 complex","NRG1-IKZF4 complex",NA,"MI:0019- coimmunoprecipitation","NRG1-IKZF4 complex","CORUM","Human","15494726","FBgn0052179 FBgn0037618 FBgn0001137 FBgn0001180 FBgn0033252 "
"FC2784",0,0,3,0,3,0,3,"Literature","Sema3E-PlexinD1-Nrp1 complex","Sema3E-PlexinD1-Nrp1 complex",NA,"MI:0007- anti tag coimmunoprecipitation","Sema3E-PlexinD1-Nrp1 complex","CORUM","Mus musculus","18054858","FBgn0025740 FBgn0011260 FBgn0029167 "
"FC2786",0,0,6,0,6,0,6,"Literature","calcineurin complex","calcineurin complex",NA,"Co-purification","calcineurin complex","CYC2008","Yeast","1321337","FBgn0015614 FBgn0011826 FBgn0036771 FBgn0010015 FBgn0010014 FBgn0030758 "
"FC2787",0,0,6,0,6,0,6,"Literature","proteasomal ubiquitin-dependent protein catabolic process","proteasomal ubiquitin-dependent protein catabolic process;nucleotide-excision repair;ubiquitin-dependent protein catabolic process;modification-dependent protein catabolic process;proteasomal protein catabolic process",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster154","CYC2008","Yeast","","FBgn0033050 FBgn0004698 FBgn0051560 FBgn0033421 FBgn0039147 FBgn0026777 "
"FC2788",1,0,20,0,21,0,21,"Literature","Respiratory chain complex I (lambda subunit) mitochondrial","Respiratory chain complex I (lambda subunit) mitochondrial",NA,"MI:0276- blue native page | MI:0063- prediction","Respiratory chain complex I (lambda subunit) mitochondrial","CORUM","Human","15317750","FBgn0047038 FBgn0025839 FBgn0034251 FBgn0017567 FBgn0031771 FBgn0031684 FBgn0030718 FBgn0039331 FBgn0031436 FBgn0030853 FBgn0035404 FBgn0031021 FBgn0029868 FBgn0037172 FBgn0034007 FBgn0036706 FBgn0040705 FBgn0034576 FBgn0039909 FBgn0039669 FBgn0017566 "
"FC2789",0,0,3,0,3,0,3,"Literature","Cdk5-c-Abl-Cables complex","Cdk5-c-Abl-Cables complex",NA,"MI:0019- coimmunoprecipitation","Cdk5-c-Abl-Cables complex","CORUM","Mus musculus","10896159","FBgn0027581 FBgn0013762 FBgn0000017 "
"FC279",0,0,9,0,9,0,9,"Literature","Rnase/Mrp complex","Rnase/Mrp complex",NA,"MI:0096- pull down","Rnase/Mrp complex","CORUM","Human","15096576","FBgn0033092 FBgn0022246 FBgn0036696 FBgn0053082 FBgn0026702 FBgn0035831 FBgn0085346 FBgn0066304 FBgn0039744 "
"FC2790",1,1,4,0,6,0.166666666666667,6,"Literature","BP-SMAD complex","BP-SMAD complex",NA,"MI:0019- coimmunoprecipitation","BP-SMAD complex","CORUM","Human","16101586","FBgn0001179 FBgn0000338 FBgn0028684 FBgn0043364 FBgn0260745 FBgn0011648 "
"FC2791",0,1,14,1,16,0.0625,16,"Literature","Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)","Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)",NA,"MI:0029- cosedimentation through density gradients","Polycystin-1 multiprotein complex (ACTN1, CDH1, SRC, JUP, VCL, CTNNB1, PXN, BCAR1, PKD1, PTK2, TLN1)","CORUM","Human","11113628","FBgn0260442 FBgn0035101 FBgn0004603 FBgn0003391 FBgn0004397 FBgn0015609 FBgn0051624 FBgn0041195 FBgn0020440 FBgn0051988 FBgn0050178 FBgn0000117 FBgn0000667 FBgn0003501 FBgn0262018 FBgn0041789 "
"FC2792",1,11,17,0,29,0.379310344827586,29,"Literature","ubiquitin-dependent protein catabolic process","ubiquitin-dependent protein catabolic process;modification-dependent protein catabolic process;proteolysis involved in cellular protein catabolic process;modification-dependent macromolecule catabolic process;cellular protein catabolic process",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster12","CYC2008","Yeast","","FBgn0017557 FBgn0037296 FBgn0032492 FBgn0029812 FBgn0023175 FBgn0002284 FBgn0050382 FBgn0034842 FBgn0030510 FBgn0051742 FBgn0017556 FBgn0016697 FBgn0250746 FBgn0030511 FBgn0010590 FBgn0023174 FBgn0026380 FBgn0032436 FBgn0031443 FBgn0004066 FBgn0026781 FBgn0031442 FBgn0261395 FBgn0261396 FBgn0032596 FBgn0250843 FBgn0261394 FBgn0086134 FBgn0029134 "
"FC2793",0,0,7,0,7,0,7,"Literature","FANCA","FANCA",NA,"anti-FANCA IP","FANCA","PINdb","Human","12724401,12973351","FBgn0036450 FBgn0038889 FBgn0037781 FBgn0040268 FBgn0027375 FBgn0002906 FBgn0010173 "
"FC2794",0,0,4,0,4,0,4,"Literature","RGS7-Gbeta5-Galphaq complex","RGS7-Gbeta5-Galphaq complex",NA,"MI:0055- fluorescent resonance energy transfer","RGS7-Gbeta5-Galphaq complex","CORUM","Mus musculus","12670932","FBgn0030011 FBgn0050054 FBgn0004435 FBgn0033756 "
"FC2795",0,2,20,0,22,0.0909090909090909,22,"Literature","mitochondrial ribosomal small subunit","mitochondrial ribosomal small subunit",NA,"Affinity Capture-MS","mitochondrial ribosomal small subunit","CYC2008","Yeast","12392552","FBgn0038474 FBgn0033907 FBgn0038307 FBgn0032168 FBgn0044511 FBgn0034138 FBgn0037529 FBgn0044030 FBgn0035374 FBgn0034727 FBgn0010411 FBgn0035951 FBgn0039765 FBgn0032236 FBgn0031639 FBgn0031959 FBgn0034986 FBgn0044510 FBgn0026261 FBgn0035534 FBgn0260407 FBgn0026087 "
"FC2796",1,0,8,0,9,0,9,"Literature","Sac3-Thp","Sac3-Thp",NA,"TAP-tagged THP1; ProtA?Sac3, Thp1?GST","Sac3-Thp","PINdb","Yeast","15311284,12411502","FBgn0051802 FBgn0034592 FBgn0028974 FBgn0040010 FBgn0000618 FBgn0035998 FBgn0040670 FBgn0036184 FBgn0034481 "
"FC2797",0,1,5,0,6,0.166666666666667,6,"Literature","protein phosphatase type 2A complex (Rts1p)","protein phosphatase type 2A complex (Rts1p)",NA,"Affinity Capture-Western","protein phosphatase type 2A complex (Rts1p)","CYC2008","Yeast","17550305","FBgn0036212 FBgn0042693 FBgn0052568 FBgn0260439 FBgn0027492 FBgn0004177 "
"FC2798",0,0,3,0,3,0,3,"Literature","synaptic vesicle docking involved in exocytosis","synaptic vesicle docking involved in exocytosis;synaptic vesicle exocytosis;vesicle docking involved in exocytosis;neurotransmitter secretion;synaptic vesicle transport",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster164","CYC2008","Yeast","","FBgn0031106 FBgn0261049 FBgn0037084 "
"FC2799",0,1,1,0,2,0.5,2,"Literature","FIF-FGR2 complex","FIF-FGR2 complex",NA,"MI:0019- coimmunoprecipitation | MI:0018- two hybrid","FIF-FGR2 complex","CORUM","Human","11075807","FBgn0027885 FBgn0014135 "
"FC28",0,0,5,0,5,0,5,"Literature","Sin3 complex","Sin3 complex;SIN3 complex;Sin3",NA,"conventional and anti-mSin3 affinity","Sin3","PINdb","Human","9150135,9651585,16449650","FBgn0022764 FBgn0024491 FBgn0030788 FBgn0015610 FBgn0015805 "
"FC280",0,0,2,0,2,0,2,"Literature","signal recognition particle receptor complex","signal recognition particle receptor complex",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster297","CYC2008","Yeast","","FBgn0010391 FBgn0011509 "
"FC2800",0,0,4,0,4,0,4,"Literature","histone H2A phosphatase complex","histone H2A phosphatase complex",NA,"Affinity Capture-MS","histone H2A phosphatase complex","CYC2008","Yeast","16299494","FBgn0000451 FBgn0030208 FBgn0024555 FBgn0023177 "
"FC2801",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster488","Additional publication","Fly","22036573","FBgn0083969 FBgn0000566 "
"FC2802",0,0,2,0,2,0,2,"Literature","H/ACA ribonucleoprotein complex","H/ACA ribonucleoprotein complex",NA,"MI:0019- coimmunoprecipitation | MI:0071- molecular sieving","H/ACA ribonucleoprotein complex","CORUM","Mus musculus","12446766","FBgn0029148 FBgn0033548 "
"FC2803",0,0,7,0,7,0,7,"Literature","CTGF/Hcs24-actin complex","CTGF/Hcs24-actin complex",NA,"MI:0019- coimmunoprecipitation | MI:0004- affinity chromatography technologies","CTGF/Hcs24-actin complex","CORUM","Human","12470643","FBgn0000044 FBgn0000047 FBgn0000045 FBgn0000043 FBgn0000042 FBgn0052183 FBgn0000046 "
"FC2804",0,0,2,0,2,0,2,"Literature","TAF4-TAF12 subcomplex of TFIID complex","TAF4-TAF12 subcomplex of TFIID complex",NA,"MI:0004- affinity chromatography technologies | MI:0114- x-ray crystallography","TAF4-TAF12 subcomplex of TFIID complex","CORUM","Human","12237304","FBgn0011290 FBgn0010280 "
"FC2805",0,1,6,0,7,0.142857142857143,7,"Literature","Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)","Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)",NA,"MI:0019- coimmunoprecipitation","Ubiquitin E3 ligase (CDT1, DDB1, CUL4A, RBX1)","CORUM","Human","15448697","FBgn0000996 FBgn0260481 FBgn0040291 FBgn0033260 FBgn0260962 FBgn0025638 FBgn0031093 "
"FC2806",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster276","Additional publication","Fly","22036573","FBgn0042125 FBgn0260441 "
"FC2807",1,0,10,0,11,0,11,"Literature","LINC complex, quiescent cells","LINC complex, quiescent cells",NA,"MI:0006- anti bait coimmunoprecipitation","LINC complex, quiescent cells","CORUM","Human","17671431","FBgn0029800 FBgn0023509 FBgn0038390 FBgn0004372 FBgn0034430 FBgn0031715 FBgn0015610 FBgn0015799 FBgn0033770 FBgn0024371 FBgn0033846 "
"FC2808",0,0,19,0,19,0,19,"Literature","protein kinase CK2 complex","protein kinase CK2 complex",NA,"Affinity Capture-Western","protein kinase CK2 complex","CYC2008","Yeast","3468112","FBgn0053238 FBgn0053242 FBgn0053241 FBgn0053244 FBgn0259817 FBgn0053236 FBgn0085506 FBgn0053247 FBgn0000258 FBgn0053237 FBgn0044817 FBgn0053243 FBgn0015300 FBgn0053239 FBgn0026136 FBgn0053246 FBgn0053240 FBgn0053245 FBgn0000259 "
"FC2809",0,0,7,0,7,0,7,"Literature","CDC5L core complex","CDC5L core complex",NA,"MI:0019- coimmunoprecipitation | MI:0069- mass spectrometry studies of complexes","CDC5L core complex","CORUM","Human","11101529","FBgn0261119 FBgn0039959 FBgn0030365 FBgn0035136 FBgn0001216 FBgn0039558 FBgn0001219 "
"FC281",0,0,4,0,4,0,4,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster139","CYC2008","Yeast","","FBgn0037834 FBgn0031592 FBgn0038188 FBgn0041775 "
"FC2810",0,0,2,0,2,0,2,"Literature","regulation of signal transduction","regulation of signal transduction;regulation of response to stimulus;regulation of signaling",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster86","CYC2008","Yeast","","FBgn0016687 FBgn0035574 "
"FC2811",0,0,2,0,2,0,2,"Literature","small molecule metabolic process","small molecule metabolic process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster463","Additional publication","Fly","22036573","FBgn0036992 FBgn0039625 "
"FC2812",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster275","CYC2008","Yeast","","FBgn0047114 FBgn0033693 "
"FC2813",0,0,2,0,2,0,2,"Literature","OGT-TRAK1-TRAK2 complex","OGT-TRAK1-TRAK2 complex",NA,"MI:0019- coimmunoprecipitation | MI:0018- two hybrid","OGT-TRAK1-TRAK2 complex","CORUM","Human","12435728","FBgn0261403 FBgn0022201 "
"FC2814",0,0,5,0,5,0,5,"Literature","Prolyl 4-hydroxylase (alpha(II)-type)","Prolyl 4-hydroxylase (alpha(II)-type)",NA,"MI:0027- cosedimentation","Prolyl 4-hydroxylase (alpha(II)-type)","CORUM","Mammalia","7753822","FBgn0033663 FBgn0039776 FBgn0039784 FBgn0014002 FBgn0026190 "
"FC2815",0,0,4,0,4,0,4,"Literature","Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial","Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial",NA,"MI:0019- coimmunoprecipitation | MI:0276- blue native page","Respiratory chain complex I (intermediate I/200kD and III/250kD), mitochondrial","CORUM","Human","12941961","FBgn0039331 FBgn0035404 FBgn0037001 FBgn0039909 "
"FC2816",0,0,4,0,4,0,4,"Literature","TOP1-PSF-P54 complex","TOP1-PSF-P54 complex",NA,"MI:0004- affinity chromatography technologies","TOP1-PSF-P54 complex","CORUM","Human","9756848","FBgn0040045 FBgn0004924 FBgn0004227 FBgn0015520 "
"FC2817",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster348","Additional publication","Fly","22036573","FBgn0036016 FBgn0032614 "
"FC2818",0,0,8,0,8,0,8,"Literature","lysosomal transport","lysosomal transport;intracellular protein transport;protein transport;vacuolar transport;establishment of protein localization",NA,"Predicted by HT data (cluster was obtained from CYC2008)","HT_SC_Cluster56","CYC2008","Yeast","","FBgn0000482 FBgn0000257 FBgn0261241 FBgn0052350 FBgn0035704 FBgn0038593 FBgn0002566 FBgn0039335 "
"FC2819",0,0,4,0,4,0,4,"Literature","retrograde vesicle-mediated transport, Golgi to ER","retrograde vesicle-mediated transport, Golgi to ER;intracellular protein transport;Golgi vesicle transport;cellular protein localization;regulation of lipid storage",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster143","Additional publication","Fly","22036573","FBgn0025724 FBgn0037549 FBgn0025725 FBgn0037610 "
"FC282",0,0,2,0,2,0,2,"Literature","Axin-SMAD3 complex","Axin-SMAD3 complex",NA,"MI:0007- anti tag coimmunoprecipitation","Axin-SMAD3 complex","CORUM","Human","11438668","FBgn0026597 FBgn0025800 "
"FC2820",0,0,2,1,3,0,3,"Literature","ITGA3-ITGB1-BSG complex","ITGA3-ITGB1-BSG complex",NA,"MI:0019- coimmunoprecipitation","ITGA3-ITGB1-BSG complex","CORUM","Human","9360995","FBgn0004456 FBgn0004657 FBgn0261822 "
"FC2821",0,0,2,0,2,0,2,"Literature","TRAF2-TRADD complex","TRAF2-TRADD complex",NA,"MI:0019- coimmunoprecipitation","TRAF2-TRADD complex","CORUM","Human","12796506","FBgn0030748 FBgn0005672 "
"FC2822",0,0,5,0,5,0,5,"Literature","carboxylic acid catabolic process","carboxylic acid catabolic process;carboxylic acid metabolic process;oxoacid metabolic process;organic acid catabolic process;organic acid metabolic process",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster84","Additional publication","Fly","22036573","FBgn0037134 FBgn0260464 FBgn0031233 FBgn0031227 FBgn0028479 "
"FC2823",0,0,2,0,2,0,2,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster372","Additional publication","Fly","22036573","FBgn0029666 FBgn0031536 "
"FC2824",2,11,19,0,32,0.34375,32,"Literature","DSS1","DSS1",NA,"FLAG-tagged DSS1","DSS1","PINdb","Human","16239144","FBgn0032305 FBgn0039691 FBgn0036184 FBgn0028687 FBgn0025830 FBgn0015283 FBgn0028694 FBgn0036570 FBgn0028690 FBgn0036465 FBgn0015282 FBgn0038168 FBgn0030858 FBgn0035462 FBgn0028695 FBgn0003276 FBgn0039788 FBgn0036038 FBgn0002787 FBgn0026679 FBgn0028691 FBgn0040954 FBgn0028693 FBgn0028692 FBgn0020369 FBgn0028684 FBgn0261396 FBgn0035998 FBgn0028689 FBgn0028685 FBgn0031473 FBgn0036224 "
"FC2825",0,0,3,0,3,0,3,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster200","Additional publication","Fly","22036573","FBgn0063494 FBgn0063495 FBgn0063493 "
"FC2826",0,0,18,0,18,0,18,"Literature","histone H4 acetylation","histone H4 acetylation;histone acetylation;histone modification;internal peptidyl-lysine acetylation;peptidyl-lysine acetylation",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster11","Additional publication","Fly","22036573","FBgn0035489 FBgn0038016 FBgn0039904 FBgn0040066 FBgn0031876 FBgn0039280 FBgn0030891 FBgn0050390 FBgn0027490 FBgn0053520 FBgn0043002 FBgn0028926 FBgn0033897 FBgn0032691 FBgn0034726 FBgn0020388 FBgn0043001 FBgn0261564 "
"FC2827",0,0,9,0,9,0,9,"Literature","DMAP1-associated complex","DMAP1-associated complex",NA,"MI:0004- affinity chromatography technologies","DMAP1-associated complex","CORUM","Human","14966270","FBgn0032321 FBgn0025716 FBgn0034537 FBgn0040075 FBgn0053554 FBgn0039654 FBgn0020306 FBgn0040078 FBgn0000581 "
"FC2828",0,0,2,0,2,0,2,"Literature","APP-FE65-LRP complex","APP-FE65-LRP complex",NA,"MI:0019- coimmunoprecipitation | MI:0096- pull down","APP-FE65-LRP complex","CORUM","Human","15115822","FBgn0000108 FBgn0053087 "
"FC2829",0,0,2,0,2,0,2,"Literature","Affixin-actinin(alpha) complex","Affixin-actinin(alpha) complex",NA,"MI:0019- coimmunoprecipitation | MI:0018- two hybrid","Affixin-actinin(alpha) complex","CORUM","Human","15159419","FBgn0000667 FBgn0052528 "
"FC283",0,0,3,0,3,0,3,"Literature","signal peptidase complex","signal peptidase complex",NA,"","signal peptidase complex","Gene Ontology","Fly","","FBgn0039172 FBgn0040623 FBgn0030306 "
"FC2830",0,0,7,0,7,0,7,"Literature","synaptic vesicle coating","synaptic vesicle coating;synaptic vesicle budding from presynaptic membrane;synaptic vesicle budding;synaptic vesicle endocytosis;vesicle coating",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster57","Additional publication","Fly","22036573","FBgn0015567 FBgn0043012 FBgn0010380 FBgn0032341 FBgn0026056 FBgn0024832 FBgn0015772 "
"FC2831",1,29,17,3,50,0.58,50,"Literature","cytoplasmic ribosomal large subunit","cytoplasmic ribosomal large subunit",NA,"Affinity Capture-MS","cytoplasmic ribosomal large subunit","CYC2008","Yeast","11983894","FBgn0261602 FBgn0015288 FBgn0003941 FBgn0037328 FBgn0034822 FBgn0036825 FBgn0037686 FBgn0002607 FBgn0035753 FBgn0020910 FBgn0029785 FBgn0002593 FBgn0034968 FBgn0036213 FBgn0028697 FBgn0039359 FBgn0029897 FBgn0086710 FBgn0030616 FBgn0005593 FBgn0032518 FBgn0011272 FBgn0003279 FBgn0026372 FBgn0025286 FBgn0039406 FBgn0013325 FBgn0038281 FBgn0032987 FBgn0010078 FBgn0002579 FBgn0003274 FBgn0032404 FBgn0031980 FBgn0064225 FBgn0024733 FBgn0040007 FBgn0015756 FBgn0023170 FBgn0000100 FBgn0261608 FBgn0010409 FBgn0016726 FBgn0014026 FBgn0002626 FBgn0034837 FBgn0261606 FBgn0017579 FBgn0037351 FBgn0039857 "
"FC2832",0,0,2,0,2,0,2,"Literature","TFIID subcomplex, testis-specific","TFIID subcomplex, testis-specific",NA,"MI:0018- two hybrid","TFIID subcomplex, testis-specific","CORUM","Mus musculus","12665565","FBgn0010355 FBgn0024909 "
"FC2834",0,0,3,0,3,0,3,"Literature","putative complex without known function","putative complex without known function",NA,"Predicted by MS data (cluster was obtained from literature)","HT_DM_Cluster264","Additional publication","Fly","22036573","FBgn0039413 FBgn0011241 FBgn0001202 "
"FC2835",0,1,23,1,25,0.04,25,"Literature","P2X7 receptor signalling complex","P2X7 receptor signalling complex",NA,"MI:0019- coimmunoprecipitation","P2X7 receptor signalling complex","CORUM","Human","11707406","FBgn0026015 FBgn0000044 FBgn0000045 FBgn0000043 FBgn0002526 FBgn0004657 FBgn0013277 FBgn0001230 FBgn0013278 FBgn0050021 FBgn0000042 FBgn0001233 FBgn0013279 FBgn0261922 FBgn0001216 FBgn0051354 FBgn0004370 FBgn0001219 FBgn0013276 FBgn0000047 FBgn0004368 FBgn0013275 FBgn0000667 FBgn0000046 FBgn0035347 "
"FC2836",0,0,2,0,2,0,2,"Literature","ETS2-ERG complex","ETS2-ERG complex",NA,"MI:0096- pull down | MI:0018- two hybrid","ETS2-ERG complex","CORUM","Human","9334186","FBgn0003118 FBgn0005658 "
"FC2837",0,0,1,1,2,0,2,"Literature","Shps1-Pyk2 complex","Shps1-Pyk2 complex",NA,"MI:0019- coimmunoprecipitation","Shps1-Pyk2 complex","CORUM","Mus musculus","10469599","FBgn0020440 FBgn0261871 "
"FC2838",0,0,2,0,2,0,2,"Literature","Dop1p/Mon2p complex","Dop1p/Mon2p complex",NA,"Affinity Capture-MS","Dop1p/Mon2p complex","CYC2008","Yeast","16301316","FBgn0034400 FBgn0031985 "
